dataset,cell_id,group,method,max_score,mean_score,label
Dataset1,D1_Qual_1,Qualified,OC-SVM,9.3296872869743,-1.6533269070721393,0
Dataset1,D1_Qual_2,Qualified,OC-SVM,7.895807419563869,-1.7704761378678622,0
Dataset1,D1_Qual_3,Qualified,OC-SVM,9.352676370360781,-1.7521952996470758,0
Dataset1,D1_Qual_4,Qualified,OC-SVM,5.389334255637974,-1.9181083842987503,0
Dataset1,D1_Qual_5,Qualified,OC-SVM,10.502153471839483,-1.8599750355512825,0
Dataset1,D1_Qual_6,Qualified,OC-SVM,9.913113242350525,-1.4952659573656624,0
Dataset1,D1_Subseq_1,Subsequent,OC-SVM,11.735667588387976,3.6197096827332453,1
Dataset1,D1_Subseq_2,Subsequent,OC-SVM,11.735667588191752,2.9805455077988308,1
Dataset1,D1_Subseq_3,Subsequent,OC-SVM,11.735659262266052,1.1650404733775859,1
Dataset1,D1_Subseq_4,Subsequent,OC-SVM,11.722984102181366,0.44113546410551613,1
Dataset1,D1_Subseq_5,Subsequent,OC-SVM,11.186798309798716,-0.5137359379123829,1
Dataset1,D1_Subseq_6,Subsequent,OC-SVM,10.392806136969611,-0.5804167153674358,1
Dataset2,D2_Qual_1,Qualified,OC-SVM,17.485146359910342,-1.9168317317609593,0
Dataset2,D2_Qual_2,Qualified,OC-SVM,14.827090916287904,-2.056432865056133,0
Dataset2,D2_Qual_3,Qualified,OC-SVM,19.3574647883735,-0.3537097226771427,0
Dataset2,D2_Qual_4,Qualified,OC-SVM,13.870677547030194,-1.2194833279305204,0
Dataset2,D2_Qual_5,Qualified,OC-SVM,14.069821688658056,-2.5593201533848093,0
Dataset2,D2_Qual_6,Qualified,OC-SVM,13.887732541471516,-2.071604928697588,0
Dataset2,D2_Qual_7,Qualified,OC-SVM,14.536975877118884,-2.3842062975900538,0
Dataset2,D2_Qual_8,Qualified,OC-SVM,15.407302105983412,-2.061422216178146,0
Dataset2,D2_Qual_9,Qualified,OC-SVM,14.372412560186698,-3.028079053439945,0
Dataset2,D2_Qual_10,Qualified,OC-SVM,13.418933602114453,-2.5362662821854376,0
Dataset2,D2_Qual_11,Qualified,OC-SVM,15.277287027427818,-2.880991209167623,0
Dataset2,D2_Qual_12,Qualified,OC-SVM,13.698660316818103,-2.7393269463477132,0
Dataset2,D2_Qual_13,Qualified,OC-SVM,14.876392186104919,-2.987736960827077,0
Dataset2,D2_Qual_14,Qualified,OC-SVM,13.463517970784874,-2.7547856038266323,0
Dataset2,D2_Subseq_15,Subsequent,OC-SVM,18.840936646923545,7.316751767155586,1
Dataset2,D2_Subseq_16,Subsequent,OC-SVM,17.3962745334151,4.854935248126736,1
Dataset2,D2_Subseq_17,Subsequent,OC-SVM,21.23688666988261,11.606226330151344,1
Dataset2,D2_Subseq_18,Subsequent,OC-SVM,20.504886421696686,8.949304105383435,1
Dataset2,D2_Subseq_19,Subsequent,OC-SVM,21.582891106328,13.189305511003633,1
Dataset2,D2_Subseq_20,Subsequent,OC-SVM,22.06341724359702,19.934548738345853,1
Dataset2,D2_Subseq_21,Subsequent,OC-SVM,21.847421323071462,15.751834017173723,1
Dataset2,D2_Subseq_22,Subsequent,OC-SVM,14.824408424754072,2.0581498329590358,1
Dataset2,D2_Subseq_23,Subsequent,OC-SVM,18.834597268122558,7.313122482990496,1
Dataset1,D1_Qual_1,Qualified,LOF,1.2254458775378354,-0.3445155928054526,0
Dataset1,D1_Qual_2,Qualified,LOF,1.0553474395715599,-0.3642268209375745,0
Dataset1,D1_Qual_3,Qualified,LOF,1.0866670439045913,-0.3881861805130261,0
Dataset1,D1_Qual_4,Qualified,LOF,0.2857613510965282,-0.38600117944828394,0
Dataset1,D1_Qual_5,Qualified,LOF,1.3792885873155631,-0.3804885298558972,0
Dataset1,D1_Qual_6,Qualified,LOF,1.4774751207541703,-0.3142128559771162,0
Dataset1,D1_Subseq_1,Subsequent,LOF,10.328519543257261,1.3049164370791997,1
Dataset1,D1_Subseq_2,Subsequent,LOF,7.8789583144884325,0.8572294459152637,1
Dataset1,D1_Subseq_3,Subsequent,LOF,4.222873114899398,0.2355070725143971,1
Dataset1,D1_Subseq_4,Subsequent,LOF,2.7891013434065233,0.02921536204555086,1
Dataset1,D1_Subseq_5,Subsequent,LOF,1.7104637211974074,-0.17754056467616797,1
Dataset1,D1_Subseq_6,Subsequent,LOF,1.760394650515825,-0.14932530090359095,1
Dataset2,D2_Qual_1,Qualified,LOF,0.6759450284346684,-0.39893105376638904,0
Dataset2,D2_Qual_2,Qualified,LOF,0.760133910853094,-0.36761801841604774,0
Dataset2,D2_Qual_3,Qualified,LOF,0.8343445321740344,-0.40412358145182564,0
Dataset2,D2_Qual_4,Qualified,LOF,0.8782109567375871,-0.40204163031771656,0
Dataset2,D2_Qual_5,Qualified,LOF,0.908022769181549,-0.4652034454878891,0
Dataset2,D2_Qual_6,Qualified,LOF,0.8928548550409681,-0.4381147742767369,0
Dataset2,D2_Qual_7,Qualified,LOF,0.9278370152531039,-0.44107630310602214,0
Dataset2,D2_Qual_8,Qualified,LOF,0.9488543256162623,-0.41671141506631715,0
Dataset2,D2_Qual_9,Qualified,LOF,0.7678120683542611,-0.47295504683832945,0
Dataset2,D2_Qual_10,Qualified,LOF,0.8841057536796444,-0.40411166687310224,0
Dataset2,D2_Qual_11,Qualified,LOF,0.7376284801237887,-0.45659607526262475,0
Dataset2,D2_Qual_12,Qualified,LOF,0.8228134211016247,-0.4707146787661846,0
Dataset2,D2_Qual_13,Qualified,LOF,0.7537952283645604,-0.45205833390475175,0
Dataset2,D2_Qual_14,Qualified,LOF,0.8892906723626002,-0.4321929003546149,0
Dataset2,D2_Subseq_15,Subsequent,LOF,8.406548861926243,3.3737972454950858,1
Dataset2,D2_Subseq_16,Subsequent,LOF,7.15251102372866,2.290043209726125,1
Dataset2,D2_Subseq_17,Subsequent,LOF,11.5710668090031,4.983451305775334,1
Dataset2,D2_Subseq_18,Subsequent,LOF,10.856655481822983,4.5013863929530435,1
Dataset2,D2_Subseq_19,Subsequent,LOF,12.801395390718103,5.69923717485083,1
Dataset2,D2_Subseq_20,Subsequent,LOF,19.038264993712176,10.956238418109429,1
Dataset2,D2_Subseq_21,Subsequent,LOF,14.31461164877092,7.1536011188719595,1
Dataset2,D2_Subseq_22,Subsequent,LOF,4.97279373165072,1.3716803430405005,1
Dataset2,D2_Subseq_23,Subsequent,LOF,8.60183168123779,3.202461254075321,1
