dataset,cell_id,group,method,detection_cycle,threshold,max_score
Dataset1,D1_Qual_1,Qualified,OC-SVM,455.0,2.8518424496703174,9.3296872869743
Dataset1,D1_Qual_2,Qualified,OC-SVM,,2.8518424496703174,7.895807419563869
Dataset1,D1_Qual_3,Qualified,OC-SVM,455.0,2.8518424496703174,9.352676370360781
Dataset1,D1_Qual_4,Qualified,OC-SVM,,2.8518424496703174,5.389334255637974
Dataset1,D1_Qual_5,Qualified,OC-SVM,455.0,2.8518424496703174,10.502153471839483
Dataset1,D1_Qual_6,Qualified,OC-SVM,449.0,2.8518424496703174,9.913113242350525
Dataset1,D1_Subseq_1,Subsequent,OC-SVM,248.0,2.8518424496703174,11.735667588387976
Dataset1,D1_Subseq_2,Subsequent,OC-SVM,33.0,2.8518424496703174,11.735667588191752
Dataset1,D1_Subseq_3,Subsequent,OC-SVM,248.0,2.8518424496703174,11.735659262266052
Dataset1,D1_Subseq_4,Subsequent,OC-SVM,398.0,2.8518424496703174,11.722984102181366
Dataset1,D1_Subseq_5,Subsequent,OC-SVM,399.0,2.8518424496703174,11.186798309798716
Dataset1,D1_Subseq_6,Subsequent,OC-SVM,250.0,2.8518424496703174,10.392806136969611
Dataset2,D2_Qual_1,Qualified,OC-SVM,,3.7122542943451258,17.485146359910342
Dataset2,D2_Qual_2,Qualified,OC-SVM,,3.7122542943451258,14.827090916287904
Dataset2,D2_Qual_3,Qualified,OC-SVM,3.0,3.7122542943451258,19.3574647883735
Dataset2,D2_Qual_4,Qualified,OC-SVM,,3.7122542943451258,13.870677547030194
Dataset2,D2_Qual_5,Qualified,OC-SVM,,3.7122542943451258,14.069821688658056
Dataset2,D2_Qual_6,Qualified,OC-SVM,4.0,3.7122542943451258,13.887732541471516
Dataset2,D2_Qual_7,Qualified,OC-SVM,,3.7122542943451258,14.536975877118884
Dataset2,D2_Qual_8,Qualified,OC-SVM,,3.7122542943451258,15.407302105983412
Dataset2,D2_Qual_9,Qualified,OC-SVM,4.0,3.7122542943451258,14.372412560186698
Dataset2,D2_Qual_10,Qualified,OC-SVM,,3.7122542943451258,13.418933602114453
Dataset2,D2_Qual_11,Qualified,OC-SVM,,3.7122542943451258,15.277287027427818
Dataset2,D2_Qual_12,Qualified,OC-SVM,,3.7122542943451258,13.698660316818103
Dataset2,D2_Qual_13,Qualified,OC-SVM,,3.7122542943451258,14.876392186104919
Dataset2,D2_Qual_14,Qualified,OC-SVM,,3.7122542943451258,13.463517970784874
Dataset2,D2_Subseq_15,Subsequent,OC-SVM,4.0,3.7122542943451258,18.840936646923545
Dataset2,D2_Subseq_16,Subsequent,OC-SVM,151.0,3.7122542943451258,17.3962745334151
Dataset2,D2_Subseq_17,Subsequent,OC-SVM,4.0,3.7122542943451258,21.23688666988261
Dataset2,D2_Subseq_18,Subsequent,OC-SVM,43.0,3.7122542943451258,20.504886421696686
Dataset2,D2_Subseq_19,Subsequent,OC-SVM,4.0,3.7122542943451258,21.582891106328
Dataset2,D2_Subseq_20,Subsequent,OC-SVM,3.0,3.7122542943451258,22.06341724359702
Dataset2,D2_Subseq_21,Subsequent,OC-SVM,4.0,3.7122542943451258,21.847421323071462
Dataset2,D2_Subseq_22,Subsequent,OC-SVM,4.0,3.7122542943451258,14.824408424754072
Dataset2,D2_Subseq_23,Subsequent,OC-SVM,4.0,3.7122542943451258,18.834597268122558
Dataset1,D1_Qual_1,Qualified,LOF,,0.27668403069808206,1.2254458775378354
Dataset1,D1_Qual_2,Qualified,LOF,180.0,0.27668403069808206,1.0553474395715599
Dataset1,D1_Qual_3,Qualified,LOF,,0.27668403069808206,1.0866670439045913
Dataset1,D1_Qual_4,Qualified,LOF,,0.27668403069808206,0.2857613510965282
Dataset1,D1_Qual_5,Qualified,LOF,455.0,0.27668403069808206,1.3792885873155631
Dataset1,D1_Qual_6,Qualified,LOF,3.0,0.27668403069808206,1.4774751207541703
Dataset1,D1_Subseq_1,Subsequent,LOF,4.0,0.27668403069808206,10.328519543257261
Dataset1,D1_Subseq_2,Subsequent,LOF,4.0,0.27668403069808206,7.8789583144884325
Dataset1,D1_Subseq_3,Subsequent,LOF,4.0,0.27668403069808206,4.222873114899398
Dataset1,D1_Subseq_4,Subsequent,LOF,4.0,0.27668403069808206,2.7891013434065233
Dataset1,D1_Subseq_5,Subsequent,LOF,399.0,0.27668403069808206,1.7104637211974074
Dataset1,D1_Subseq_6,Subsequent,LOF,446.0,0.27668403069808206,1.760394650515825
Dataset2,D2_Qual_1,Qualified,LOF,,-0.00793992622377998,0.6759450284346684
Dataset2,D2_Qual_2,Qualified,LOF,,-0.00793992622377998,0.760133910853094
Dataset2,D2_Qual_3,Qualified,LOF,11.0,-0.00793992622377998,0.8343445321740344
Dataset2,D2_Qual_4,Qualified,LOF,,-0.00793992622377998,0.8782109567375871
Dataset2,D2_Qual_5,Qualified,LOF,,-0.00793992622377998,0.908022769181549
Dataset2,D2_Qual_6,Qualified,LOF,,-0.00793992622377998,0.8928548550409681
Dataset2,D2_Qual_7,Qualified,LOF,,-0.00793992622377998,0.9278370152531039
Dataset2,D2_Qual_8,Qualified,LOF,,-0.00793992622377998,0.9488543256162623
Dataset2,D2_Qual_9,Qualified,LOF,,-0.00793992622377998,0.7678120683542611
Dataset2,D2_Qual_10,Qualified,LOF,,-0.00793992622377998,0.8841057536796444
Dataset2,D2_Qual_11,Qualified,LOF,,-0.00793992622377998,0.7376284801237887
Dataset2,D2_Qual_12,Qualified,LOF,,-0.00793992622377998,0.8228134211016247
Dataset2,D2_Qual_13,Qualified,LOF,,-0.00793992622377998,0.7537952283645604
Dataset2,D2_Qual_14,Qualified,LOF,,-0.00793992622377998,0.8892906723626002
Dataset2,D2_Subseq_15,Subsequent,LOF,28.0,-0.00793992622377998,8.406548861926243
Dataset2,D2_Subseq_16,Subsequent,LOF,37.0,-0.00793992622377998,7.15251102372866
Dataset2,D2_Subseq_17,Subsequent,LOF,13.0,-0.00793992622377998,11.5710668090031
