dataset,method,ROC_AUC,PR_AUC,n_normal,n_anomaly,branch
Dataset1,OC-SVM,0.9722222222222224,0.9742063492063492,6,6,A (Baseline)
Dataset1,LOF,1.0,1.0,6,6,A (Baseline)
Dataset1,Mahalanobis Distance,0.6666666666666667,0.7616402116402117,6,6,A (Baseline)
Dataset1,SPRT,1.0,1.0,6,6,A (Baseline)
Dataset2,OC-SVM,0.9206349206349206,0.8984347442680778,14,9,A (Baseline)
Dataset2,LOF,1.0,1.0000000000000002,14,9,A (Baseline)
Dataset2,Mahalanobis Distance,0.8253968253968254,0.8358835608835611,14,9,A (Baseline)
Dataset2,SPRT,0.992063492063492,0.9882716049382718,14,9,A (Baseline)
Dataset1,LSTM_AE,1.0,1.0,6,6,B (DL v2)
Dataset1,TCN_AE,1.0,1.0,6,6,B (DL v2)
Dataset1,Transformer_AE,1.0,1.0,6,6,B (DL v2)
Dataset2,LSTM_AE,0.9761904761904762,0.9709595959595962,14,9,B (DL v2)
Dataset2,TCN_AE,0.8174603174603174,0.8475021977601958,14,9,B (DL v2)
Dataset2,Transformer_AE,0.9603174603174603,0.9512701804368473,14,9,B (DL v2)
