dataset,cell_id,group,method,max_score,mean_score,label
Dataset1,D1_Qual_1,Qualified,LSTM_AE,0.24577662348747253,0.033262949436903,0
Dataset1,D1_Qual_2,Qualified,LSTM_AE,0.26563501358032227,0.026929395273327827,0
Dataset1,D1_Qual_3,Qualified,LSTM_AE,0.19727067649364471,0.019467361271381378,0
Dataset1,D1_Qual_4,Qualified,LSTM_AE,0.1269477903842926,0.018434671685099602,0
Dataset1,D1_Qual_5,Qualified,LSTM_AE,0.3624086081981659,0.021147258579730988,0
Dataset1,D1_Qual_6,Qualified,LSTM_AE,0.20878012478351593,0.026194583624601364,0
Dataset1,D1_Subseq_1,Subsequent,LSTM_AE,37.833351135253906,5.039597034454346,1
Dataset1,D1_Subseq_2,Subsequent,LSTM_AE,29.973377227783203,3.1432106494903564,1
Dataset1,D1_Subseq_3,Subsequent,LSTM_AE,12.033504486083984,0.8850710391998291,1
Dataset1,D1_Subseq_4,Subsequent,LSTM_AE,5.604911804199219,0.4236079454421997,1
Dataset1,D1_Subseq_5,Subsequent,LSTM_AE,2.8651232719421387,0.20661479234695435,1
Dataset1,D1_Subseq_6,Subsequent,LSTM_AE,1.623069405555725,0.15119940042495728,1
Dataset2,D2_Qual_1,Qualified,LSTM_AE,1.027081847190857,0.07687551528215408,0
Dataset2,D2_Qual_2,Qualified,LSTM_AE,0.7610076665878296,0.10844334959983826,0
Dataset2,D2_Qual_3,Qualified,LSTM_AE,1.2931877374649048,0.08041998744010925,0
Dataset2,D2_Qual_4,Qualified,LSTM_AE,0.4310190677642822,0.06634487211704254,0
Dataset2,D2_Qual_5,Qualified,LSTM_AE,0.08847840875387192,0.022904226556420326,0
Dataset2,D2_Qual_6,Qualified,LSTM_AE,0.22148191928863525,0.03429108485579491,0
Dataset2,D2_Qual_7,Qualified,LSTM_AE,0.6029289960861206,0.04194963350892067,0
Dataset2,D2_Qual_8,Qualified,LSTM_AE,0.46634387969970703,0.04330350086092949,0
Dataset2,D2_Qual_9,Qualified,LSTM_AE,0.5826483964920044,0.04003437981009483,0
Dataset2,D2_Qual_10,Qualified,LSTM_AE,0.4825276732444763,0.055454615503549576,0
