dataset,cell_id,group,method,threshold_type,threshold_value,detection_cycle,max_score
Dataset1,D1_Qual_1,Qualified,LSTM_AE,mean+3σ,0.11856494,460.0,0.24577662348747253
Dataset1,D1_Qual_2,Qualified,LSTM_AE,mean+3σ,0.11856494,41.0,0.26563501358032227
Dataset1,D1_Qual_3,Qualified,LSTM_AE,mean+3σ,0.11856494,450.0,0.19727067649364471
Dataset1,D1_Qual_4,Qualified,LSTM_AE,mean+3σ,0.11856494,,0.1269477903842926
Dataset1,D1_Qual_5,Qualified,LSTM_AE,mean+3σ,0.11856494,460.0,0.3624086081981659
Dataset1,D1_Qual_6,Qualified,LSTM_AE,mean+3σ,0.11856494,180.0,0.20878012478351593
Dataset1,D1_Subseq_1,Subsequent,LSTM_AE,mean+3σ,0.11856494,3.0,37.833351135253906
Dataset1,D1_Subseq_2,Subsequent,LSTM_AE,mean+3σ,0.11856494,3.0,29.973377227783203
Dataset1,D1_Subseq_3,Subsequent,LSTM_AE,mean+3σ,0.11856494,31.0,12.033504486083984
Dataset1,D1_Subseq_4,Subsequent,LSTM_AE,mean+3σ,0.11856494,31.0,5.604911804199219
Dataset1,D1_Subseq_5,Subsequent,LSTM_AE,mean+3σ,0.11856494,287.0,2.8651232719421387
Dataset1,D1_Subseq_6,Subsequent,LSTM_AE,mean+3σ,0.11856494,248.0,1.623069405555725
Dataset2,D2_Qual_1,Qualified,LSTM_AE,mean+3σ,0.36865222,24.0,1.027081847190857
Dataset2,D2_Qual_2,Qualified,LSTM_AE,mean+3σ,0.36865222,13.0,0.7610076665878296
Dataset2,D2_Qual_3,Qualified,LSTM_AE,mean+3σ,0.36865222,12.0,1.2931877374649048
Dataset2,D2_Qual_4,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.4310190677642822
Dataset2,D2_Qual_5,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.08847840875387192
Dataset2,D2_Qual_6,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.22148191928863525
Dataset2,D2_Qual_7,Qualified,LSTM_AE,mean+3σ,0.36865222,11.0,0.6029289960861206
Dataset2,D2_Qual_8,Qualified,LSTM_AE,mean+3σ,0.36865222,21.0,0.46634387969970703
Dataset2,D2_Qual_9,Qualified,LSTM_AE,mean+3σ,0.36865222,21.0,0.5826483964920044
Dataset2,D2_Qual_10,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.4825276732444763
Dataset2,D2_Qual_11,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.43178144097328186
Dataset2,D2_Qual_12,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.40264859795570374
Dataset2,D2_Qual_13,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.06325595080852509
Dataset2,D2_Qual_14,Qualified,LSTM_AE,mean+3σ,0.36865222,,0.17791636288166046
Dataset2,D2_Subseq_15,Subsequent,LSTM_AE,mean+3σ,0.36865222,28.0,2.0542290210723877
Dataset2,D2_Subseq_16,Subsequent,LSTM_AE,mean+3σ,0.36865222,183.0,1.4681402444839478
Dataset2,D2_Subseq_17,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,3.799211025238037
Dataset2,D2_Subseq_18,Subsequent,LSTM_AE,mean+3σ,0.36865222,51.0,2.8412654399871826
Dataset2,D2_Subseq_19,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,4.6581597328186035
Dataset2,D2_Subseq_20,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,10.255613327026367
Dataset2,D2_Subseq_21,Subsequent,LSTM_AE,mean+3σ,0.36865222,3.0,5.7061944007873535
Dataset2,D2_Subseq_22,Subsequent,LSTM_AE,mean+3σ,0.36865222,221.0,0.6800232529640198
Dataset2,D2_Subseq_23,Subsequent,LSTM_AE,mean+3σ,0.36865222,15.0,1.8118211030960083
Dataset1,D1_Qual_1,Qualified,TCN_AE,mean+3σ,0.09950742,453.0,0.22869077324867249
Dataset1,D1_Qual_2,Qualified,TCN_AE,mean+3σ,0.09950742,45.0,0.149370476603508
Dataset1,D1_Qual_3,Qualified,TCN_AE,mean+3σ,0.09950742,445.0,0.1407655030488968
Dataset1,D1_Qual_4,Qualified,TCN_AE,mean+3σ,0.09950742,,0.09561869502067566
Dataset1,D1_Qual_5,Qualified,TCN_AE,mean+3σ,0.09950742,448.0,0.17383484542369843
Dataset1,D1_Qual_6,Qualified,TCN_AE,mean+3σ,0.09950742,445.0,0.2634812593460083
Dataset1,D1_Subseq_1,Subsequent,TCN_AE,mean+3σ,0.09950742,229.0,2.169086217880249
Dataset1,D1_Subseq_2,Subsequent,TCN_AE,mean+3σ,0.09950742,198.0,2.346600294113159
Dataset1,D1_Subseq_3,Subsequent,TCN_AE,mean+3σ,0.09950742,246.0,0.8838057518005371
Dataset1,D1_Subseq_4,Subsequent,TCN_AE,mean+3σ,0.09950742,395.0,0.40778881311416626
Dataset1,D1_Subseq_5,Subsequent,TCN_AE,mean+3σ,0.09950742,394.0,0.9788984060287476
Dataset1,D1_Subseq_6,Subsequent,TCN_AE,mean+3σ,0.09950742,395.0,0.29864633083343506
Dataset2,D2_Qual_1,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.18194551765918732
Dataset2,D2_Qual_2,Qualified,TCN_AE,mean+3σ,0.06232573,14.0,0.11517152935266495
Dataset2,D2_Qual_3,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.13571369647979736
Dataset2,D2_Qual_4,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.11035304516553879
Dataset2,D2_Qual_5,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.1298743635416031
Dataset2,D2_Qual_6,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.17623798549175262
Dataset2,D2_Qual_7,Qualified,TCN_AE,mean+3σ,0.06232573,,0.07850856333971024
Dataset2,D2_Qual_8,Qualified,TCN_AE,mean+3σ,0.06232573,,0.058504898101091385
Dataset2,D2_Qual_9,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.1160070151090622
Dataset2,D2_Qual_10,Qualified,TCN_AE,mean+3σ,0.06232573,,0.07076535373926163
Dataset2,D2_Qual_11,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.11435703188180923
Dataset2,D2_Qual_12,Qualified,TCN_AE,mean+3σ,0.06232573,3.0,0.11820273101329803
Dataset2,D2_Qual_13,Qualified,TCN_AE,mean+3σ,0.06232573,,0.12428413331508636
Dataset2,D2_Qual_14,Qualified,TCN_AE,mean+3σ,0.06232573,,0.0947495847940445
Dataset2,D2_Subseq_15,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.13896343111991882
Dataset2,D2_Subseq_16,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.1077934131026268
Dataset2,D2_Subseq_17,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.3573625087738037
Dataset2,D2_Subseq_18,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.27931153774261475
Dataset2,D2_Subseq_19,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.321247935295105
Dataset2,D2_Subseq_20,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,1.3159676790237427
Dataset2,D2_Subseq_21,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.5344477891921997
Dataset2,D2_Subseq_22,Subsequent,TCN_AE,mean+3σ,0.06232573,229.0,0.08728598058223724
Dataset2,D2_Subseq_23,Subsequent,TCN_AE,mean+3σ,0.06232573,3.0,0.3945635259151459
Dataset1,D1_Qual_1,Qualified,Transformer_AE,mean+3σ,0.21396059,453.0,0.3563876152038574
Dataset1,D1_Qual_2,Qualified,Transformer_AE,mean+3σ,0.21396059,43.0,0.3478461802005768
Dataset1,D1_Qual_3,Qualified,Transformer_AE,mean+3σ,0.21396059,445.0,0.33800727128982544
Dataset1,D1_Qual_4,Qualified,Transformer_AE,mean+3σ,0.21396059,483.0,0.31613367795944214
Dataset1,D1_Qual_5,Qualified,Transformer_AE,mean+3σ,0.21396059,446.0,0.4061647355556488
Dataset1,D1_Qual_6,Qualified,Transformer_AE,mean+3σ,0.21396059,180.0,0.3618408143520355
Dataset1,D1_Subseq_1,Subsequent,Transformer_AE,mean+3σ,0.21396059,229.0,23.680932998657227
Dataset1,D1_Subseq_2,Subsequent,Transformer_AE,mean+3σ,0.21396059,246.0,21.499879837036133
Dataset1,D1_Subseq_3,Subsequent,Transformer_AE,mean+3σ,0.21396059,246.0,5.835081577301025
Dataset1,D1_Subseq_4,Subsequent,Transformer_AE,mean+3σ,0.21396059,397.0,2.2015857696533203
Dataset1,D1_Subseq_5,Subsequent,Transformer_AE,mean+3σ,0.21396059,396.0,6.740044593811035
Dataset1,D1_Subseq_6,Subsequent,Transformer_AE,mean+3σ,0.21396059,398.0,0.819074809551239
Dataset2,D2_Qual_1,Qualified,Transformer_AE,mean+3σ,0.29765,24.0,0.7790035009384155
Dataset2,D2_Qual_2,Qualified,Transformer_AE,mean+3σ,0.29765,14.0,0.7107213139533997
Dataset2,D2_Qual_3,Qualified,Transformer_AE,mean+3σ,0.29765,11.0,1.2301403284072876
Dataset2,D2_Qual_4,Qualified,Transformer_AE,mean+3σ,0.29765,,0.25949832797050476
Dataset2,D2_Qual_5,Qualified,Transformer_AE,mean+3σ,0.29765,,0.09435253590345383
Dataset2,D2_Qual_6,Qualified,Transformer_AE,mean+3σ,0.29765,,0.18484482169151306
Dataset2,D2_Qual_7,Qualified,Transformer_AE,mean+3σ,0.29765,11.0,0.4350969195365906
Dataset2,D2_Qual_8,Qualified,Transformer_AE,mean+3σ,0.29765,21.0,0.3951803743839264
Dataset2,D2_Qual_9,Qualified,Transformer_AE,mean+3σ,0.29765,21.0,0.4663124978542328
Dataset2,D2_Qual_10,Qualified,Transformer_AE,mean+3σ,0.29765,13.0,0.3659650981426239
Dataset2,D2_Qual_11,Qualified,Transformer_AE,mean+3σ,0.29765,,0.30640682578086853
Dataset2,D2_Qual_12,Qualified,Transformer_AE,mean+3σ,0.29765,,0.3599817156791687
Dataset2,D2_Qual_13,Qualified,Transformer_AE,mean+3σ,0.29765,,0.0686396062374115
Dataset2,D2_Qual_14,Qualified,Transformer_AE,mean+3σ,0.29765,,0.14893881976604462
Dataset2,D2_Subseq_15,Subsequent,Transformer_AE,mean+3σ,0.29765,168.0,1.557205319404602
Dataset2,D2_Subseq_16,Subsequent,Transformer_AE,mean+3σ,0.29765,194.0,1.0476861000061035
Dataset2,D2_Subseq_17,Subsequent,Transformer_AE,mean+3σ,0.29765,128.0,3.0376055240631104
Dataset2,D2_Subseq_18,Subsequent,Transformer_AE,mean+3σ,0.29765,3.0,2.2926642894744873
Dataset2,D2_Subseq_19,Subsequent,Transformer_AE,mean+3σ,0.29765,113.0,3.7672412395477295
Dataset2,D2_Subseq_20,Subsequent,Transformer_AE,mean+3σ,0.29765,3.0,14.645746231079102
Dataset2,D2_Subseq_21,Subsequent,Transformer_AE,mean+3σ,0.29765,3.0,4.774923801422119
Dataset2,D2_Subseq_22,Subsequent,Transformer_AE,mean+3σ,0.29765,230.0,0.4600033164024353
Dataset2,D2_Subseq_23,Subsequent,Transformer_AE,mean+3σ,0.29765,51.0,1.3898544311523438
