cell_id,is_anomalous,z_onset_2sigma,z_onset_3sigma,final_z
D2_Qual_1,False,,,0.9763364421655444
D2_Qual_2,False,,,-0.7647296995380068
D2_Qual_3,False,,,2.51769794115161
D2_Qual_4,False,,,-1.5305674614975515
D2_Qual_5,False,,,0.5672386293645335
D2_Qual_6,False,,,0.4431611611420176
D2_Qual_7,False,,,-0.6716575607261434
D2_Qual_8,False,,,-0.8616634668811979
D2_Qual_9,False,,,-0.0783858452029357
D2_Qual_10,False,,,-0.6464638163557047
D2_Qual_11,False,,,-0.0977680045332105
D2_Qual_12,False,,,-0.5088132215440149
D2_Qual_13,False,,,0.6118426083552699
D2_Qual_14,False,,,0.0437722940998198
D2_Subseq_15,True,42.0,130.0,-3.754398424791896
D2_Subseq_16,True,60.0,179.0,-3.4267240577314704
D2_Subseq_17,True,9.0,49.0,-4.8556516769681615
D2_Subseq_18,True,90.0,165.0,-3.6729698744530936
D2_Subseq_19,True,4.0,30.0,-5.373308979491784
D2_Subseq_20,True,1.0,9.0,-7.246219235565068
D2_Subseq_21,True,10.0,28.0,-5.551691715566531
D2_Subseq_22,True,141.0,,-2.5348741848351315
D2_Subseq_23,True,54.0,171.0,-3.395708519124496
