dataset,cell_id,group,method,score
Dataset1,D1_Qual_1,Qualified,PatchCore,4.404434447431943
Dataset1,D1_Qual_2,Qualified,PatchCore,4.538610836737876
Dataset1,D1_Qual_3,Qualified,PatchCore,4.486618036337493
Dataset1,D1_Qual_4,Qualified,PatchCore,4.48844674935962
Dataset1,D1_Qual_5,Qualified,PatchCore,4.537465774012606
Dataset1,D1_Qual_6,Qualified,PatchCore,4.484396072447207
Dataset1,D1_Subseq_1,Subsequent,PatchCore,4.584290938542458
Dataset1,D1_Subseq_2,Subsequent,PatchCore,4.664742405232314
Dataset1,D1_Subseq_3,Subsequent,PatchCore,4.658374945153126
Dataset1,D1_Subseq_4,Subsequent,PatchCore,4.685806644900957
Dataset1,D1_Subseq_5,Subsequent,PatchCore,4.475818957424217
Dataset1,D1_Subseq_6,Subsequent,PatchCore,4.520655474673116
Dataset2,D2_Qual_1,Qualified,PatchCore,2.8024627384196426
Dataset2,D2_Qual_2,Qualified,PatchCore,2.7597838338813925
Dataset2,D2_Qual_3,Qualified,PatchCore,2.7663972012113254
Dataset2,D2_Qual_4,Qualified,PatchCore,2.7436069778372367
Dataset2,D2_Qual_5,Qualified,PatchCore,2.7695027591664827
Dataset2,D2_Qual_6,Qualified,PatchCore,2.7652671504565567
Dataset2,D2_Qual_7,Qualified,PatchCore,2.747331773542675
Dataset2,D2_Qual_8,Qualified,PatchCore,2.7329225564849438
Dataset2,D2_Qual_9,Qualified,PatchCore,2.7905808634664235
Dataset2,D2_Qual_10,Qualified,PatchCore,2.6955927904799726
Dataset2,D2_Qual_11,Qualified,PatchCore,2.7361616005187313
Dataset2,D2_Qual_12,Qualified,PatchCore,2.7667681250824416
Dataset2,D2_Qual_13,Qualified,PatchCore,2.7549823828440942
Dataset2,D2_Qual_14,Qualified,PatchCore,2.7375581299266547
Dataset2,D2_Subseq_15,Subsequent,PatchCore,2.7880107374563696
Dataset2,D2_Subseq_16,Subsequent,PatchCore,2.8001253305781666
Dataset2,D2_Subseq_17,Subsequent,PatchCore,2.783884939039171
Dataset2,D2_Subseq_18,Subsequent,PatchCore,2.8730791351865697
Dataset2,D2_Subseq_19,Subsequent,PatchCore,2.806100890967969
Dataset2,D2_Subseq_20,Subsequent,PatchCore,2.7816664556299857
Dataset2,D2_Subseq_21,Subsequent,PatchCore,2.7672499180023227
Dataset2,D2_Subseq_22,Subsequent,PatchCore,2.7928660918549086
Dataset2,D2_Subseq_23,Subsequent,PatchCore,2.7750531589824825
