dataset,cell_id,group,method,threshold_type,detection_cycle
Dataset1,D1_Qual_1,Qualified,PatchCore_Prog,mean+3σ,
Dataset1,D1_Qual_1,Qualified,PatchCore_Prog,mean+2σ,
Dataset1,D1_Qual_1,Qualified,PatchCore_Prog,P95,
Dataset1,D1_Qual_2,Qualified,PatchCore_Prog,mean+3σ,
Dataset1,D1_Qual_2,Qualified,PatchCore_Prog,mean+2σ,
Dataset1,D1_Qual_2,Qualified,PatchCore_Prog,P95,
Dataset1,D1_Qual_3,Qualified,PatchCore_Prog,mean+3σ,
Dataset1,D1_Qual_3,Qualified,PatchCore_Prog,mean+2σ,
Dataset1,D1_Qual_3,Qualified,PatchCore_Prog,P95,
Dataset1,D1_Qual_4,Qualified,PatchCore_Prog,mean+3σ,
Dataset1,D1_Qual_4,Qualified,PatchCore_Prog,mean+2σ,
Dataset1,D1_Qual_4,Qualified,PatchCore_Prog,P95,
Dataset1,D1_Qual_5,Qualified,PatchCore_Prog,mean+3σ,
Dataset1,D1_Qual_5,Qualified,PatchCore_Prog,mean+2σ,
Dataset1,D1_Qual_5,Qualified,PatchCore_Prog,P95,
Dataset1,D1_Qual_6,Qualified,PatchCore_Prog,mean+3σ,
Dataset1,D1_Qual_6,Qualified,PatchCore_Prog,mean+2σ,20.0
Dataset1,D1_Qual_6,Qualified,PatchCore_Prog,P95,20.0
Dataset1,D1_Subseq_1,Subsequent,PatchCore_Prog,mean+3σ,
Dataset1,D1_Subseq_1,Subsequent,PatchCore_Prog,mean+2σ,20.0
Dataset1,D1_Subseq_1,Subsequent,PatchCore_Prog,P95,20.0
Dataset1,D1_Subseq_2,Subsequent,PatchCore_Prog,mean+3σ,
Dataset1,D1_Subseq_2,Subsequent,PatchCore_Prog,mean+2σ,20.0
Dataset1,D1_Subseq_2,Subsequent,PatchCore_Prog,P95,20.0
Dataset1,D1_Subseq_3,Subsequent,PatchCore_Prog,mean+3σ,20.0
Dataset1,D1_Subseq_3,Subsequent,PatchCore_Prog,mean+2σ,20.0
Dataset1,D1_Subseq_3,Subsequent,PatchCore_Prog,P95,20.0
Dataset1,D1_Subseq_4,Subsequent,PatchCore_Prog,mean+3σ,200.0
Dataset1,D1_Subseq_4,Subsequent,PatchCore_Prog,mean+2σ,200.0
Dataset1,D1_Subseq_4,Subsequent,PatchCore_Prog,P95,200.0
Dataset1,D1_Subseq_5,Subsequent,PatchCore_Prog,mean+3σ,
Dataset1,D1_Subseq_5,Subsequent,PatchCore_Prog,mean+2σ,20.0
Dataset1,D1_Subseq_5,Subsequent,PatchCore_Prog,P95,20.0
Dataset1,D1_Subseq_6,Subsequent,PatchCore_Prog,mean+3σ,
Dataset1,D1_Subseq_6,Subsequent,PatchCore_Prog,mean+2σ,20.0
Dataset1,D1_Subseq_6,Subsequent,PatchCore_Prog,P95,20.0
Dataset2,D2_Qual_1,Qualified,PatchCore_Prog,mean+3σ,
Dataset2,D2_Qual_1,Qualified,PatchCore_Prog,mean+2σ,60.0
Dataset2,D2_Qual_1,Qualified,PatchCore_Prog,P95,60.0
