dataset,cell_id,group,n_cycles,cap_start,cap_end,total_fade_pct,mean_fade_rate,knee_cycle,knee_delta_m,anomaly_onset_z2
Dataset1,D1_Qual_1,Qualified,496,1.0,0.8754179682666393,12.458203173336068,0.25168087218860746,316.0,,
Dataset1,D1_Qual_2,Qualified,496,1.0,0.8866997830622765,11.330021693772352,0.22888932714691618,399.0,,
Dataset1,D1_Qual_3,Qualified,496,1.0,0.8979420363570343,10.205796364296571,0.20617770432922364,183.0,,
Dataset1,D1_Qual_4,Qualified,496,1.0,0.8565282562407995,14.347174375920046,0.28984190658424336,287.0,,
Dataset1,D1_Qual_5,Qualified,496,1.0,0.8713674282040174,12.863257179598264,0.25986378140602556,238.0,,
Dataset1,D1_Qual_6,Qualified,496,1.0,0.8906433091984014,10.93566908015986,0.22092260767999716,243.0,,
Dataset1,D1_Subseq_1,Subsequent,500,1.0,0.6208414528895401,37.915854711045995,0.7598367677564327,266.0,,162.0
Dataset1,D1_Subseq_2,Subsequent,500,1.0,0.668190534101252,33.18094658987481,0.6649488294564089,259.0,,205.0
Dataset1,D1_Subseq_3,Subsequent,500,1.0,0.7503928363623917,24.960716363760827,0.5002147567887941,271.0,,224.0
Dataset1,D1_Subseq_4,Subsequent,500,1.0,0.7805094068057983,21.949059319420172,0.4398609082048131,269.0,,277.0
Dataset1,D1_Subseq_5,Subsequent,500,1.0,0.8260564335616902,17.394356643830978,0.3485843014795787,237.0,,317.0
Dataset1,D1_Subseq_6,Subsequent,500,1.0,0.8258712255603243,17.412877443967567,0.34895545979894926,237.0,,285.0
Dataset2,Cell_1,Qualified,250,1.0027131012507848,0.9479911838259016,5.200881617409836,0.21976673664611723,94.0,,
Dataset2,Cell_2,Qualified,250,0.9959862061909267,0.928586380822318,7.141361917768196,0.2706820295928059,89.0,,
Dataset2,Cell_3,Qualified,250,1.0200480052403043,0.9651322024209159,3.486779757908409,0.2205453928489492,106.0,,
Dataset2,Cell_4,Qualified,250,0.9926870891026088,0.9201776129858835,7.982238701411648,0.2912027153282141,95.0,,
Dataset2,Cell_5,Qualified,250,1.013256311416626,0.9434635298592704,5.65364701407296,0.28029229541106654,88.0,,
Dataset2,Cell_6,Qualified,250,1.0142265898840768,0.9421051400048392,5.789485999516075,0.28964437702505025,82.0,,
Dataset2,Cell_7,Qualified,250,1.0032304695674352,0.929686086518424,7.031391348157601,0.2953589680683182,92.0,,
Dataset2,Cell_8,Qualified,250,1.0039420638765608,0.9276162726538523,7.238372734614773,0.30652928201890983,93.0,,
Dataset2,Cell_9,Qualified,250,1.004330004964556,0.936283894947597,6.3716105052403,0.2732775502689118,89.0,,
Dataset2,Cell_10,Qualified,250,1.0009664297103882,0.9300094842910768,6.999051570892323,0.2849676522863912,91.0,,
Dataset2,Cell_11,Qualified,250,1.0045886891228812,0.9360897541046144,6.391024589538564,0.2750961245713529,99.0,,
Dataset2,Cell_12,Qualified,250,1.0049768005098616,0.9316265583038331,6.837344169616689,0.2945792859679859,83.0,,
Dataset2,Cell_13,Qualified,250,1.0055590527398246,0.9440457820892335,5.5954217910766495,0.2470412475927353,81.0,,
Dataset2,Cell_14,Qualified,250,1.0085344314575195,0.9376420293535506,6.235797064644943,0.28470844218461433,89.0,,
Dataset2,Cell_15,Subsequent,250,0.9985086747578212,0.895468933241708,10.453106675829204,0.41381422295627823,104.0,,42.0
Dataset2,Cell_16,Subsequent,250,0.9973443405968803,0.899026564189366,10.0973435810634,0.39485050766069985,92.0,,59.0
Dataset2,Cell_17,Subsequent,250,0.9950803858893259,0.8831144230706351,11.688557692936485,0.44966250127988255,101.0,,9.0
Dataset2,Cell_18,Subsequent,250,1.006076421056475,0.8962449005671911,10.375509943280893,0.4410904437320639,96.0,,91.0
Dataset2,Cell_19,Subsequent,250,0.9917817796979632,0.8773577213287355,12.264227867126454,0.459534370960754,106.0,,4.0
Dataset2,Cell_20,Subsequent,250,0.9915876388549806,0.8566590717860632,14.334092821393686,0.5418817954574997,101.0,,2.0
Dataset2,Cell_21,Subsequent,250,0.9965034893580846,0.8753523656300136,12.464763436998638,0.48655069770309645,92.0,,10.0
Dataset2,Cell_22,Subsequent,250,1.0016133104051863,0.9089877775737218,9.101222242627816,0.37199009169262837,97.0,,141.0
Dataset2,Cell_23,Subsequent,250,1.002324904714312,0.8993497916630336,10.065020833696636,0.41355467088866776,92.0,,55.0
